title;description;url;image
Todo App;Una WebApp senza distrazioni per aiutarti a concentrarti sulla creazione e sul completamento delle attività.;https://peppespino-my-todo-app-web-kvulni.streamlit.app;1.png
Portfolio Website;Un sito Web realizzato interamente in Python per mostrare progetti e app di codifica.;https://pythonhow.com;2.png
PDF Templates;Uno script che genera modelli PDF di più pagine in base ad alcune linee guida predefinite.;https://pythonhow.com;3.png
PDF Invoices;Uno script che legge i record delle fatture da file Excel e genera automaticamente fatture PDF.;https://pythonhow.com;4.png
Positive News Site;Un sito Web che ottiene dati da un'API di notizie e utilizza l'analisi del sentiment per pubblicare solo notizie positive.;https://pythonhow.com;5.png
Weather API;Un'API REST creata con Python e Flask per fornire dati meteorologici storici per varie città.;https://pythonhow.com;6.png
Download Cleaner;Uno script che monitora la cartella Download ed elimina i vecchi file mantenendo pulita la cartella.;https://pythonhow.com;7.png
Tour Scraper;Un programma che controlla il sito web di un gruppo musicale e invia un'e-mail quando ci sono nuovi tour.;https://pythonhow.com;8.png
Helper Chatbot;Un chatbot che conosce un argomento specifico e risponde a domande riguardanti quell'argomento.;https://pythonhow.com;9.png
Open Domain Chatbot;Un chatbot in grado di discutere qualsiasi cosa con un essere umano ed è realizzato utilizzando l'API di Facebook.;https://pythonhow.com;10.png
Webcam Motion Detector;Un programma che monitora la webcam del computer e invia un'e-mail quando un nuovo oggetto entra nella vista.;https://pythonhow.com;11.png
Typing Analyzer;Un programma che monitora la tastiera del computer e restituisce le parole più digitate della sessione.;https://pythonhow.com;12.png
Internet Speed Analysis;Un programma che registra la velocità di Internet ogni pochi secondi e traccia i valori sul browser.;https://pythonhow.com;13.png
Monitoring Data;Un programma che monitora un particolare sito Web e registra periodicamente i dati su un server remoto.;https://pythonhow.com;14.png
Visualizing Data;Un programma che visualizza i dati raccolti nel precedente programma di monitoraggio. ;https://pythonhow.com;15.png
Visualizing Weather Forecast;Un'app web di dati che visualizza le previsioni del tempo per i prossimi cinque giorni di qualsiasi città.;https://pythonhow.com;16.png
Student Management System;Un'app GUI PyQt6 desktop per la gestione dei dati degli studenti universitari con un backend di database SQL.;https://pythonhow.com;17.png
School Management System;Un'app GUI PyQt6 desktop per la gestione di dati universitari complessi con un backend di database SQL.;https://pythonhow.com;18.png
Restaurant Menu Web App;Un'app Web Django per consentire ai clienti di visualizzare il menu di un ristorante e la disponibilità dei pasti.;https://pythonhow.com;19.png
Online Store;Un'app del negozio online Django in cui gli utenti possono effettuare ordini e i venditori possono gestirli.;https://pythonhow.com;20.png
